0.21168,0.56934,0.043796,0.0072993,0,0.0072993,0.072993,0.036496,0,0.051095
0.032496,0.49778,0.20236,0.031019,0.085672,0.11817,0.020679,0.0029542,0.0014771,0.0073855
0.030043,0.12232,0.45494,0.30043,0.064378,0.0064378,0.0064378,0.0021459,0,0.012876
0.041159,0.23933,0.059451,0.42226,0.21799,0.010671,0.0030488,0,0.0015244,0.0045732
0.033774,0.029369,0.0073421,0.067548,0.65198,0.19677,0.0058737,0,0,0.0073421
0.003861,0.011583,0.015444,0.61776,0.015444,0.18533,0.13127,0.007722,0,0.011583
0.035294,0,0.54118,0.058824,0.058824,0,0.21176,0.058824,0,0.035294
0,0.5,0.05,0,0,0,0,0.35,0.05,0.05
0.066667,0.13333,0.13333,0.066667,0.066667,0,0.066667,0,0,0.46667
0.028112,0.016064,0.024096,0.0080321,0.012048,0.0040161,0.024096,0.0080321,0.02008,0.85542
